key,en,ml
tool_cancer_consult_description,You reported one or more symptoms that need medical evaluation. Please consult a doctor at the nearest health facility for further evaluation. Early detection can make a significant difference.,വൈദ്യപരിശോധന ആവശ്യമായ ഒന്നോ അതിലധികമോ ലക്ഷണങ്ങൾ നിങ്ങൾ റിപ്പോർട്ട് ചെയ്തിട്ടുണ്ട്. കൂടുതൽ പരിശോധനയ്ക്കായി അടുത്തുള്ള ആരോഗ്യ കേന്ദ്രത്തിലെ ഡോക്ടറെ കാണുക. നേരത്തെ കണ്ടെത്തുന്നത് വലിയ വ്യത്യാസം ഉണ്ടാക്കും.
tool_cancer_find_facility,Find nearby health facility,അടുത്തുള്ള ആരോഗ്യ കേന്ദ്രം കണ്ടെത്തുക
tool_cancer_no_symptoms_title,No symptoms reported,ലക്ഷണങ്ങൾ റിപ്പോർട്ട് ചെയ്തിട്ടില്ല
tool_cancer_no_symptoms_description,"Consider routine screening once every 5 years. If you notice new symptoms later, consult a health facility promptly.","5 വർഷത്തിലൊരിക്കൽ പതിവ് പരിശോധന നടത്തുക. പിന്നീട് പുതിയ ലക്ഷണങ്ങൾ ശ്രദ്ധയിൽപ്പെട്ടാൽ, ഉടൻ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുക."
tool_cancer_breast_exam_title,Self-breast examination guide,സ്വയം മാറിട പരിശോധന ഗൈഡ്
tool_cancer_breast_exam_subtitle,How to perform a self-breast examination:,സ്വയം മാറിട പരിശോധന എങ്ങനെ നടത്താം:
tool_cancer_breast_exam_step1,Stand in front of a mirror with shoulders straight and arms on hips,തോളുകൾ നേരെയും കൈകൾ ഇടുപ്പിലും വച്ച് കണ്ണാടിക്ക് മുന്നിൽ നിൽക്കുക
tool_cancer_breast_exam_step2,"Look for any changes in size, shape, or color of breasts","മാറിടങ്ങളുടെ വലുപ്പം, ആകൃതി, നിറം എന്നിവയിൽ മാറ്റങ്ങൾ നോക്കുക"
tool_cancer_breast_exam_step3,Raise your arms and look for the same changes,കൈകൾ ഉയർത്തി അതേ മാറ്റങ്ങൾ നോക്കുക
tool_cancer_breast_exam_step4,"While lying down, use your right hand to feel your left breast and vice versa","കിടക്കുമ്പോൾ, ഇടത് മാറിടം അനുഭവിക്കാൻ വലത് കൈ ഉപയോഗിക്കുക, തിരിച്ചും"
tool_cancer_breast_exam_step5,"Use firm, smooth touches with finger pads in circular motions","വിരൽത്തുമ്പുകൾ ഉപയോഗിച്ച് വൃത്താകൃതിയിൽ ഉറച്ച, മിനുസമായ സ്പർശനങ്ങൾ ഉപയോഗിക്കുക"
tool_cancer_breast_exam_step6,"Cover the entire breast from top to bottom, side to side","മുകളിൽ നിന്ന് താഴേക്ക്, വശത്തുനിന്ന് വശത്തേക്ക് മുഴുവൻ മാറിടവും മൂടുക"
tool_cancer_breast_exam_step7,"Feel your breasts while standing or sitting, such as in the shower",ഷവറിൽ എന്നപോലെ നിൽക്കുമ്പോഴോ ഇരിക്കുമ്പോഴോ മാറിടങ്ങൾ അനുഭവിക്കുക
tool_cancer_breast_exam_note,"Seek help if you find a new lump, thickening, or any change. Monthly self-exams help you know what's normal for your body.","പുതിയ മുഴ, കട്ടിയാകൽ, അല്ലെങ്കിൽ ഏതെങ്കിലും മാറ്റം കണ്ടെത്തിയാൽ സഹായം തേടുക. പ്രതിമാസ സ്വയം പരിശോധനകൾ നിങ്ങളുടെ ശരീരത്തിന് എന്താണ് സാധാരണ എന്ന് അറിയാൻ സഹായിക്കുന്നു."
tool_cancer_about_title,About this screening,ഈ സ്ക്രീനിംഗിനെക്കുറിച്ച്
tool_cancer_about_description,This tool helps identify potential warning signs that may need medical attention. It is not a diagnosis. Many symptoms can have causes other than cancer. Only a healthcare professional can provide a proper diagnosis.,വൈദ്യസഹായം ആവശ്യമായേക്കാവുന്ന ലക്ഷണങ്ങൾ തിരിച്ചറിയാൻ ഈ ഉപകരണം സഹായിക്കുന്നു. ഇത് രോഗനിർണയമല്ല. പല ലക്ഷണങ്ങൾക്കും കാൻസർ അല്ലാത്ത കാരണങ്ങളുണ്ടാകാം. ഒരു ആരോഗ്യ വിദഗ്ദ്ധന് മാത്രമേ കൃത്യമായ രോഗനിർണയം നടത്താൻ കഴിയൂ.
tool_cancer_cta_description,Take our full assessment for personalized risk scores and guidance.,വ്യക്തിഗത റിസ്ക് സ്കോറുകൾക്കും മാർഗ്ഗനിർദ്ദേശത്തിനും പൂർണ്ണ വിലയിരുത്തൽ എടുക്കുക.
tool_uhid_title,Generate UHID,UHID സൃഷ്ടിക്കുക
tool_uhid_description,Get your Unique Health ID for Kerala's digital health system.,കേരളത്തിന്റെ ഡിജിറ്റൽ ആരോഗ്യ സംവിധാനത്തിനായി യുണീക് ഹെൽത്ത് ID നേടുക.
tool_uhid_cta,Get started,ആരംഭിക്കുക
tool_uhid_badge,UHID Tool,UHID ടൂൾ
tool_uhid_subtitle,Your Unique Health Identifier for Kerala's digital health ecosystem,കേരളത്തിന്റെ ഡിജിറ്റൽ ആരോഗ്യ ആവാസവ്യവസ്ഥയ്ക്കായി യുണീക് ഹെൽത്ത് ഐഡന്റിഫയർ
tool_uhid_what_is_title,What is UHID?,UHID എന്താണ്?
tool_uhid_what_is_description_1,UHID (Unique Health Identifier) is a unique identification number assigned to every citizen under Kerala's State Digital Health Mission. It serves as your digital health identity across all government healthcare facilities in Kerala.,UHID (യുണീക് ഹെൽത്ത് ഐഡന്റിഫയർ) കേരളത്തിന്റെ സ്റ്റേറ്റ് ഡിജിറ്റൽ ഹെൽത്ത് മിഷന്റെ കീഴിൽ ഓരോ പൗരനും നൽകുന്ന ഒരു അദ്വിതീയ തിരിച്ചറിയൽ നമ്പറാണ്. കേരളത്തിലെ എല്ലാ സർക്കാർ ആരോഗ്യ കേന്ദ്രങ്ങളിലും നിങ്ങളുടെ ഡിജിറ്റൽ ആരോഗ്യ ഐഡന്റിറ്റിയായി ഇത് പ്രവർത്തിക്കുന്നു.
tool_uhid_what_is_description_2,"With UHID, all your health records from government hospitals, PHCs, and health centers are linked together, making healthcare delivery smoother and more efficient.","UHID ഉപയോഗിച്ച്, സർക്കാർ ആശുപത്രികൾ, PHC-കൾ, ആരോഗ്യ കേന്ദ്രങ്ങൾ എന്നിവയിൽ നിന്നുള്ള നിങ്ങളുടെ എല്ലാ ആരോഗ്യ രേഖകളും ഒരുമിച്ച് ലിങ്ക് ചെയ്യപ്പെടുന്നു, ആരോഗ്യ സേവന വിതരണം സുഗമവും കാര്യക്ഷമവുമാക്കുന്നു."
tool_uhid_benefits_title,Benefits of UHID,UHID-ന്റെ ആനുകൂല്യങ്ങൾ
tool_uhid_benefit_1,Access all your medical records in one place,എല്ലാ മെഡിക്കൽ രേഖകളും ഒരിടത്ത് ആക്സസ് ചെയ്യുക
tool_uhid_benefit_2,Seamless care across Kerala's government hospitals,കേരളത്തിലെ സർക്കാർ ആശുപത്രികളിലുടനീളം സുഗമമായ പരിചരണം
tool_uhid_benefit_3,Secure and private health data storage,സുരക്ഷിതവും സ്വകാര്യവുമായ ആരോഗ്യ ഡാറ്റ സംഭരണം
tool_uhid_benefit_4,Easy access through mobile and web portal,"മൊബൈൽ, വെബ് പോർട്ടൽ വഴി എളുപ്പത്തിൽ ആക്സസ്"
tool_uhid_benefit_5,Faster registration at healthcare facilities,ആരോഗ്യ കേന്ദ്രങ്ങളിൽ വേഗത്തിലുള്ള രജിസ്ട്രേഷൻ
tool_uhid_how_to_title,How to Register,എങ്ങനെ രജിസ്റ്റർ ചെയ്യാം
tool_uhid_how_to_description,You'll need your Aadhaar number linked with a mobile number,മൊബൈൽ നമ്പറുമായി ലിങ്ക് ചെയ്ത നിങ്ങളുടെ ആധാർ നമ്പർ ആവശ്യമാണ്
tool_uhid_step_1,Click the button below to visit the eHealth Kerala portal,eHealth Kerala പോർട്ടൽ സന്ദർശിക്കാൻ താഴെയുള്ള ബട്ടൺ ക്ലിക്ക് ചെയ്യുക
tool_uhid_step_2,Select 'Create UHID / Link Mobile Number with UHID','UHID സൃഷ്ടിക്കുക / മൊബൈൽ നമ്പർ ലിങ്ക് ചെയ്യുക' തിരഞ്ഞെടുക്കുക
tool_uhid_step_3,Enter your Aadhaar number,നിങ്ങളുടെ ആധാർ നമ്പർ നൽകുക
tool_uhid_step_4,Verify using OTP sent to your Aadhaar-linked mobile,ആധാർ ലിങ്ക് ചെയ്ത മൊബൈലിലേക്ക് അയച്ച OTP ഉപയോഗിച്ച് സ്ഥിരീകരിക്കുക
tool_uhid_step_5,Confirm your details and your UHID will be generated,"നിങ്ങളുടെ വിശദാംശങ്ങൾ സ്ഥിരീകരിക്കുക, UHID സൃഷ്ടിക്കപ്പെടും"
tool_uhid_go_to_portal,Go to eHealth Kerala Portal,eHealth Kerala പോർട്ടലിലേക്ക് പോകുക
tool_uhid_already_have_title,Already have a UHID?,ഇതിനകം UHID ഉണ്ടോ?
tool_uhid_already_have_description,"You can use the same portal to log in, view your health records, and manage your profile.",ലോഗിൻ ചെയ്യാനും ആരോഗ്യ രേഖകൾ കാണാനും പ്രൊഫൈൽ നിയന്ത്രിക്കാനും അതേ പോർട്ടൽ ഉപയോഗിക്കാം.
tool_uhid_faq_1_question,What if my mobile isn't linked with Aadhaar?,എന്റെ മൊബൈൽ ആധാറുമായി ലിങ്ക് ചെയ്തിട്ടില്ലെങ്കിൽ എന്തുചെയ്യും?
tool_uhid_faq_1_answer,"If your mobile number is not linked with Aadhaar, you can visit the nearest government hospital reception desk to create your UHID with assistance from healthcare staff.","നിങ്ങളുടെ മൊബൈൽ നമ്പർ ആധാറുമായി ലിങ്ക് ചെയ്തിട്ടില്ലെങ്കിൽ, അടുത്തുള്ള സർക്കാർ ആശുപത്രി റിസപ്ഷൻ ഡെസ്കിൽ ആരോഗ്യ ജീവനക്കാരുടെ സഹായത്തോടെ UHID സൃഷ്ടിക്കാം."
tool_uhid_faq_2_question,Is my health data secure?,എന്റെ ആരോഗ്യ ഡാറ്റ സുരക്ഷിതമാണോ?
tool_uhid_faq_2_answer,Yes. The State Digital Health Mission follows strict data protection guidelines. Your health records are encrypted and can only be accessed by authorized healthcare providers when you visit a facility.,"അതെ. സ്റ്റേറ്റ് ഡിജിറ്റൽ ഹെൽത്ത് മിഷൻ കർശനമായ ഡാറ്റ സംരക്ഷണ മാർഗ്ഗനിർദ്ദേശങ്ങൾ പാലിക്കുന്നു. നിങ്ങളുടെ ആരോഗ്യ രേഖകൾ എൻക്രിപ്റ്റ് ചെയ്തിരിക്കുന്നു, നിങ്ങൾ ഒരു കേന്ദ്രം സന്ദർശിക്കുമ്പോൾ അംഗീകൃത ആരോഗ്യ ദാതാക്കൾക്ക് മാത്രമേ ആക്സസ് ചെയ്യാൻ കഴിയൂ."
tool_uhid_faq_3_question,Can I use UHID at private hospitals?,സ്വകാര്യ ആശുപത്രികളിൽ UHID ഉപയോഗിക്കാമോ?
tool_uhid_faq_3_answer,"Currently, UHID is primarily used in government healthcare facilities. However, integration with private hospitals is being expanded under the State Digital Health Mission.","നിലവിൽ, UHID പ്രധാനമായും സർക്കാർ ആരോഗ്യ കേന്ദ്രങ്ങളിൽ ഉപയോഗിക്കുന്നു. എന്നിരുന്നാലും, സ്റ്റേറ്റ് ഡിജിറ്റൽ ഹെൽത്ത് മിഷന്റെ കീഴിൽ സ്വകാര്യ ആശുപത്രികളുമായുള്ള സംയോജനം വിപുലീകരിക്കുന്നു."
tool_uhid_cta_title,Want a health check?,ആരോഗ്യ പരിശോധന വേണോ?
tool_uhid_cta_description,Take our quick assessment for personalized risk scores and guidance.,വ്യക്തിഗത റിസ്ക് സ്കോറുകൾക്കും മാർഗ്ഗനിർദ്ദേശത്തിനും ഞങ്ങളുടെ വേഗത്തിലുള്ള വിലയിരുത്തൽ എടുക്കുക.
tool_uhid_cta_button,Take Health Assessment,ആരോഗ്യ വിലയിരുത്തൽ എടുക്കുക
tool_jak_title,Find JAK,JAK കണ്ടെത്തുക
tool_jak_description,Locate your nearest Janakeeya Arogya Kendram health centre.,നിങ്ങളുടെ അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം കണ്ടെത്തുക.
tool_jak_cta,Find now,ഇപ്പോൾ കണ്ടെത്തുക
tool_jak_badge,Find JAK,Find JAK
tool_jak_subtitle,Locate the nearest primary health centre in your area,നിങ്ങളുടെ പ്രദേശത്തെ അടുത്തുള്ള പ്രാഥമിക ആരോഗ്യ കേന്ദ്രം കണ്ടെത്തുക
tool_jak_what_is_title,What is Janakeeya Arogya Kendram?,ജനകീയ ആരോഗ്യ കേന്ദ്രം എന്താണ്?
tool_jak_what_is_description_1,"Janakeeya Arogya Kendram (JAK) is Kerala's network of family health centres that provide comprehensive primary healthcare services to communities. These centres are the first point of contact for preventive, promotive, and curative healthcare.","ജനകീയ ആരോഗ്യ കേന്ദ്രം (JAK) കേരളത്തിലെ ഫാമിലി ഹെൽത്ത് സെന്ററുകളുടെ ശൃംഖലയാണ്, സമഗ്രമായ പ്രാഥമിക ആരോഗ്യ സേവനങ്ങൾ സമൂഹങ്ങൾക്ക് നൽകുന്നു. പ്രതിരോധ, പ്രോത്സാഹന, ചികിത്സാ ആരോഗ്യ സംരക്ഷണത്തിനുള്ള ആദ്യ സമ്പർക്ക കേന്ദ്രമാണ് ഇവ."
tool_jak_what_is_description_2,"JAKs operate under the National Health Mission and offer free consultations, essential medicines, diagnostic services, and referral support.","JAK-കൾ നാഷണൽ ഹെൽത്ത് മിഷന്റെ കീഴിൽ പ്രവർത്തിക്കുന്നു, സൗജന്യ കൺസൾട്ടേഷനുകൾ, അവശ്യ മരുന്നുകൾ, ഡയഗ്നോസ്റ്റിക് സേവനങ്ങൾ, റഫറൽ പിന്തുണ എന്നിവ നൽകുന്നു."
tool_jak_services_title,Services Available at JAK,JAK-ൽ ലഭ്യമായ സേവനങ്ങൾ
tool_jak_service_opd,General OPD,ജനറൽ OPD
tool_jak_service_ncd,NCD Screening,NCD സ്ക്രീനിംഗ്
tool_jak_service_medicines,Free Medicines,സൗജന്യ മരുന്നുകൾ
tool_jak_service_family,Family Health,ഫാമിലി ഹെൽത്ത്
tool_jak_service_lab,Lab Services,ലാബ് സേവനങ്ങൾ
tool_jak_service_teleconsult,Teleconsultation,ടെലികൺസൾട്ടേഷൻ
tool_jak_search_title,Search for JAK,JAK-നായി തിരയുക
tool_jak_search_description,Find a Janakeeya Arogya Kendram near you,നിങ്ങളുടെ അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം കണ്ടെത്തുക
tool_jak_select_district,Select District,ജില്ല തിരഞ്ഞെടുക്കുക
tool_jak_choose_district,Choose your district,നിങ്ങളുടെ ജില്ല തിരഞ്ഞെടുക്കുക
tool_jak_search_by_name,Search by name or location,പേരോ സ്ഥലമോ ഉപയോഗിച്ച് തിരയുക
tool_jak_search_placeholder,"e.g., Panchayat name, area...","ഉദാ: പഞ്ചായത്ത് പേര്, പ്രദേശം..."
tool_jak_use_location,Use My Location,എന്റെ ലൊക്കേഷൻ ഉപയോഗിക്കുക
tool_jak_finding_location,Finding your location...,നിങ്ങളുടെ സ്ഥാനം കണ്ടെത്തുന്നു...
tool_jak_location_error,Unable to get your location,നിങ്ങളുടെ സ്ഥാനം ലഭിക്കാൻ കഴിയുന്നില്ല
tool_jak_location_error_desc,Please enable location access or search manually,ദയവായി ലൊക്കേഷൻ ആക്സസ് പ്രവർത്തനക്ഷമമാക്കുക അല്ലെങ്കിൽ സ്വമേധയാ തിരയുക
tool_jak_nearby_results,Nearby JAKs,അടുത്തുള്ള JAK-കൾ
tool_jak_search_mode_district,Search by District,ജില്ലയിൽ തിരയുക
tool_jak_search_mode_location,Find Nearby,അടുത്തുള്ളവ കണ്ടെത്തുക
tool_jak_search_radius,Search Radius,തിരയൽ ദൂരം
tool_jak_adjust_radius,Adjust search distance,തിരയൽ ദൂരം ക്രമീകരിക്കുക
tool_jak_within_radius,within {{radius}}km of you,നിങ്ങളിൽ നിന്ന് {{radius}}km ഉള്ളിൽ
tool_jak_distance_away,{{distance}} away,{{distance}} അകലെ
tool_jak_results_title,Search Results,തിരയൽ ഫലങ്ങൾ
tool_jak_results_found,found,കണ്ടെത്തി
tool_jak_results_none,No JAKs found matching your search criteria.,നിങ്ങളുടെ തിരയലുമായി പൊരുത്തപ്പെടുന്ന JAK-കൾ കണ്ടെത്തിയില്ല.
tool_jak_results_none_hint,Try selecting a different district or adjusting your search.,മറ്റൊരു ജില്ല തിരഞ്ഞെടുക്കുക അല്ലെങ്കിൽ നിങ്ങളുടെ തിരയൽ മാറ്റുക.
tool_jak_results_limit,Showing first 100 results. Narrow your search to see more specific results.,ആദ്യ 100 ഫലങ്ങൾ കാണിക്കുന്നു. കൂടുതൽ നിർദ്ദിഷ്ട ഫലങ്ങൾക്കായി നിങ്ങളുടെ തിരയൽ ചുരുക്കുക.
tool_jak_clear,Clear,മായ്ക്കുക
tool_jak_get_directions,Get Directions,ദിശകൾ നേടുക
tool_jak_coming_soon_title,Coming Soon,ഉടൻ വരുന്നു
